"name","latitude","longitude","geometry"
"Concorde Shopping Centre",1.28894241045438,103.834170315392,c(103.834170315392, 1.28894241045438)
"Tiong Bahru Plaza",1.28642317675824,103.827293438633,c(103.827293438633, 1.28642317675824)
"Rain Oculus",1.28392492174663,103.858698478486,c(103.858698478486, 1.28392492174663)
"Bugis Junction",1.29984361299746,103.855929608932,c(103.855929608932, 1.29984361299746)
"Far East Shopping Centre",1.30553740595342,103.830091452395,c(103.830091452395, 1.30553740595342)
"Forum The Shopping Mall",1.30609220748768,103.828666548329,c(103.828666548329, 1.30609220748768)
"Liat Tower",1.30508736883149,103.830718729092,c(103.830718729092, 1.30508736883149)
"Lucky Plaza",1.30448441806379,103.833978901626,c(103.833978901626, 1.30448441806379)
"Paragon",1.30383714967643,103.835681954966,c(103.835681954966, 1.30383714967643)
"Tang Plaza",1.3050325007815,103.833015398522,c(103.833015398522, 1.3050325007815)
"Wisma Atria",1.30369760421685,103.833222965367,c(103.833222965367, 1.30369760421685)
"The Heeren",1.30260517639396,103.837367655717,c(103.837367655717, 1.30260517639396)
"Velocity @ Novena Square",1.31985617454873,103.843885734791,c(103.843885734791, 1.31985617454873)
"Square 2",1.32075410112094,103.844122389676,c(103.844122389676, 1.32075410112094)
"United Square",1.31716718721291,103.843629133467,c(103.843629133467, 1.31716718721291)
"Changi Airport Terminal 2",1.35469064095197,103.98972456538,c(103.98972456538, 1.35469064095197)
"Changi Airport Terminal 3",1.35529597646617,103.985912351707,c(103.985912351707, 1.35529597646617)
"Plaza 8",1.33345504766302,103.965584415174,c(103.965584415174, 1.33345504766302)
"Lot One Shoppers' Mall",1.38515754102357,103.744963843377,c(103.744963843377, 1.38515754102357)
"Bukit Panjang Plaza",1.38000813843886,103.764311585084,c(103.764311585084, 1.38000813843886)
"Valley Point Shopping Centre",1.29303242128307,103.827071201473,c(103.827071201473, 1.29303242128307)
"Downtown East",1.3770636231357,103.954625617853,c(103.954625617853, 1.3770636231357)
"nex",1.3505647298188,103.872317481915,c(103.872317481915, 1.3505647298188)
"Fusionopolis 1",1.2991875264811,103.787563957238,c(103.787563957238, 1.2991875264811)
"Mustafa Centre",1.30907274699553,103.856499051973,c(103.856499051973, 1.30907274699553)
"Mustafa Centre",1.30941610088554,103.856057349468,c(103.856057349468, 1.30941610088554)
"Mustafa Centre",1.309752734435,103.855723630868,c(103.855723630868, 1.309752734435)
"Midpoint Orchard",1.30176447691975,103.838648071154,c(103.838648071154, 1.30176447691975)
"Orchard Gateway",1.30060151799352,103.839225447004,c(103.839225447004, 1.30060151799352)
"Sunshine Place",1.37780430345082,103.739068655777,c(103.739068655777, 1.37780430345082)
"Shaw Plaza",1.32503648929385,103.851181449822,c(103.851181449822, 1.32503648929385)
"Joo Chiat Complex",1.31590266443606,103.898384642817,c(103.898384642817, 1.31590266443606)
